,6m,3m,1m
DJT,-17.518019991595953,-13.506410020155341,39.03855927370422
DKNG,-6.105159974406452,-17.07746161103972,10.07888054068626
DLTR,39.57010144510622,19.47309957721412,16.280016482224937
DNLI,-54.51355644221747,-31.508163122467174,7.460435093948775
DOCU,13.80700360757538,2.321888550351973,20.0371960850644
DRS,11.389705650175792,21.22991294595257,14.478871520136444
DUOL,62.58068407021516,33.49577793265727,62.690176669743614
DXCM,20.22584578480854,0.2861545915226668,24.81080482584398
EA,-5.359144310216127,13.802933332152836,2.4467337172465635
EBAY,12.742890746993698,2.272032495122866,4.691991052580467
EBC,-12.971419877519802,-14.050996018265877,8.575378754128055
ENPH,-31.793721932182322,-25.34358333519013,-16.351967541156597
ENTG,-20.65944538992892,-22.756062337118838,14.270137975726843
ERIC,4.344187186902975,9.674671443576191,13.422819135597258
ETSY,-12.267868593235427,-11.403675607804326,7.147763626159332
EVRG,5.759479011194785,-1.514099717138939,-4.187001560871035
EXAS,4.254076624286328,6.6150139178858,21.288131455243644
EXC,14.817522005456324,2.021357020244364,-7.482770153286336
EXE,23.737276946430416,9.374222075316759,9.891178086172427
EXEL,1.9310365874191808,12.652443970760343,3.38555967444645
EXLS,2.471027945389684,-8.06356780835656,3.05695920899943
EXPD,-3.376491531009493,3.845458040219908,2.909410457873964
EXPE,-6.104524840677692,-16.230464799659483,13.495945832779904
EXTR,-4.17661547362732,3.4793749500734306,35.527417290686195
FA,-3.517314040212442,-9.44642234587214,18.787472697022693
FANG,-18.66499458086274,-5.312276146552216,14.517391779931058
FAST,-2.9585535865605483,9.121735715769963,-1.1059203918843632
FIBK,-11.117080643738372,-10.392240138863224,16.00132266708162
FITB,-13.192101545795213,-8.336332228782053,13.9595434799434
FIVE,17.860458831864342,15.978560774940432,59.9905604850067
FIVN,-23.248233397312223,-31.40776770494021,21.915443730912116
FLEX,4.390118021537577,-2.6970469488052706,36.54159541594109
FOX,23.54065623358616,-0.20699665846654342,10.947004377290455
FOXA,24.454212085251033,1.4745475796036989,11.528372783963514
FROG,35.6270089639865,14.216084366682788,34.93282148540967
