,1m,1w
CSX,3.3069737109490585,0.9483683325451366
CTAS,5.924140491654708,1.3785280275606195
CTSH,13.91366643013714,1.617243547183558
CYTK,-16.24834335300313,-13.55330693802651
CZR,10.137523954274597,1.4844309737663608
DASH,2.800806565279315,-10.652380854037569
DBX,8.78877092862593,1.6563131463710423
DDOG,15.77591425209049,2.0624412186532566
DJT,32.46406693402706,2.596863787398401
DKNG,4.319032593639395,6.15293996015413
DLTR,19.138561145493963,1.8106067036524942
DNLI,14.959999084472656,-10.13133151186904
DOCU,13.753072284812943,1.0310510055178919
DRS,22.997648951239047,0.0
DUOL,61.781408484337284,3.7682381019552547
DVAX,-14.220605119813918,-16.429843195957368
DXCM,25.809798409413016,5.48150206788251
DYN,63.46704607784018,-3.5502965258039443
EA,9.979197735144247,-0.9305947979107865
EBAY,11.269410561807742,-1.1378117623977937
EBC,6.587242818705649,-0.39293004464969367
ENPH,2.461657328894553,14.317876795406836
ENTG,10.968310030928942,-8.976038662632337
ENVX,11.148645927472426,8.045973051576084
EOSE,60.465122009941375,22.727274869013492
ERIC,16.596340452603627,0.4848480224609375
ETNB,54.1541538674788,-10.569104340281644
ETSY,7.709951019919406,4.125990949656491
EVGO,44.6640366489882,32.12996790730974
EVRG,1.6951632926871185,-4.1318784687741275
EWTX,26.015560140665727,-11.85006580006467
EXAS,18.0384066915404,-3.1877005523549835
EXC,0.19946842801073422,-1.7173932946246604
EXE,12.887989762280183,3.71942670609213
EXEL,4.962272576621063,-9.211852333299214
EXLS,3.4302551245587036,-2.170180739926667
EXPD,0.7759064486564521,-2.3888326466286465
EXPE,4.775280354217797,-5.409969640886849
EXPI,-18.647764710140212,-14.449543466713214
EXTR,29.257645740386522,5.638829043160399
EYE,49.30434848951257,29.584906236180718
FA,27.693419702346038,19.082939570230494
FANG,11.960048140263899,3.6143654135953884
FAST,4.266404796093559,-4.6347971119751135
FIBK,9.991838539363023,0.9356287665585812
FITB,10.404955520384217,0.18776742788707512
FIVE,38.011978902754244,2.971372215568222
FIVN,14.162724840116889,5.071318138878106
FLEX,30.795375399209302,5.165344033251566
FLYW,29.334919770166756,12.037037491271477
FOLD,-8.141323981172624,-8.422667275090415
FOX,1.5431491525128624,1.9642111127743407
FOXA,1.4539604483994795,1.9894506502758067
FROG,28.33169063268996,13.372087994416349
FRPT,2.94230920510823,1.744853896460941
FRSH,15.831350621367768,0.4137959973565464
FSLR,15.132162914262565,10.632265354126053
FTAI,11.096128709301556,6.3325034773379345
FTDR,34.14141661293017,1.54845638946461
FTNT,1.142024997514823,-10.36894288279779
FUTU,36.7998926316425,1.1564675201352825
FWONK,21.653685079204248,3.7206247139599498
