,1m,1w
ATEC,22.727268211769513,2.2888710347810366
AUPH,5.6774139404296875,0.8620652193445086
AUR,9.656295627793565,-15.510719365692319
AVDX,28.026311372785962,0.1028731988973092
AVGO,33.69787313065562,3.1726684363225837
AVPT,34.30352564729569,2.593963933035804
AZN,1.8050026435926854,-0.20304480905710418
AZTA,8.792076488532642,-2.932862000289809
BBIO,-0.08857035796548121,-5.156951056194297
BCRX,38.378373502030584,-0.9671216633850679
BEAM,5.23529052734375,-1.9188617645923938
BGC,8.865248186976078,-0.8611401941286716
BIDU,8.17290265080595,-2.1146054302198767
BIIB,5.884829012411194,0.9565874577293831
BILI,16.779774055068135,0.3711542553492733
BKR,-2.2667697692208884,0.45189257966324187
BMRN,0.16900843656075085,-3.4218649350994856
BRKR,3.4454245922227273,-6.78092313972149
BSY,11.067383065481634,0.5028319312142862
BTDR,99.3438295080605,7.122702774829024
BTSG,47.16867315525208,9.306487195546413
BULL,-52.8674520190984,-11.923351930320724
BZ,31.294967632018373,2.4705252512725746
CAKE,17.699749604191375,7.258462524331651
CAR,28.667692457550835,4.895907957856861
CARG,21.98421022149614,-1.5169903333994579
CART,6.21074218353121,4.700754891927118
CCCS,5.190309173070878,0.33003006014967545
CCEP,-0.10704242857364797,1.7615986064210352
CDNS,23.572360329775606,3.1401382076234925
CDW,24.79698769122344,0.11121250234756809
CEG,41.047858570372334,2.1865173724427986
CELH,5.773355570026274,5.546623021841288
CENX,5.131489603787782,-5.696201489773242
CERT,-16.042399754673173,-2.061005751371526
CFLT,6.572110269823553,0.8952585567296193
CG,32.31026218486572,3.945636298124702
CGNX,33.18877547121409,0.12325362726499405
CGON,23.207369463051773,1.0731337814035933
CHA,-8.939574087385969,-3.778501037734314
CHDN,-3.048543753628968,0.11205478489554042
CHRW,10.028526937522173,4.5127691180546865
CHTR,26.04732439539928,6.143796994262601
CHX,2.2432101465843597,-0.3069835968746123
CIFR,62.86920175041497,22.53967549945663
CLBT,-7.883596831702112,-12.292193890008155
CLMT,40.676221518995995,4.649387667668049
CLOV,-1.3888876011341837,2.305473286641311
CLSK,30.226357322326418,1.663200096834624
CMCSA,4.322261961925483,2.1889351809124507
CME,5.241309499716539,2.1518125107965793
COCO,12.401383185852373,8.896361751332112
COIN,52.236755592433845,28.58796925267868
COLB,12.804328735402077,-2.3800184275335123
COMM,76.57658405880362,6.909092989834872
COO,4.288763603442295,-1.8000997495419109
CORT,20.62981974023653,4.075412345828379
CORZ,62.59426164248606,9.109307774347146
COST,3.284718945600007,0.9526085133154123
CPRT,6.970509092057312,2.70270320028922
CPRX,8.214921597978684,2.266055045137249
CRDO,64.1550622843298,8.871992696888768
CROX,29.574516611593516,-1.0938118965532404
CRSP,2.647603886365452,3.1391335471823454
CRWD,16.942658930758682,2.2867006493086572
CRWV,105.42338894424815,37.28842664971304
CSCO,14.096127774301268,3.161992574732068
CSGP,-3.400249922509472,2.1358459392601796
CSX,13.150286667330013,3.3322344001250004
CTAS,7.529583286466539,1.964541291422668
CTSH,17.281105383205663,-0.4522614939848923
CYTK,-21.47922907943373,-3.516965547930251
CZR,20.344964670684785,2.0611730079985
DASH,11.454421693680072,5.1535625101175855
DBX,6.6396134140006,-1.2973747225586003
DDOG,29.05242133703507,3.7471346046659177
DEFT,76.14677965957108,-6.341463329535306
DJT,16.333930692284447,-0.03898724768249702
DKNG,9.788755893429096,-2.7155253651720255
