,1y,6m
DKNG,-12.918881658077058,-6.105159974406452
DLTR,-29.18869924308011,39.57010144510622
DOCU,55.67809449984145,13.80700360757538
DRS,79.39038267700465,11.389705650175792
DUOL,182.5111821003336,62.58068407021516
DXCM,-33.79771854386598,20.22584578480854
EA,17.864990790738098,-5.359144310216127
EBAY,38.14926535752032,12.742890746993698
ENTG,-36.54406378362388,-20.65944538992892
ERIC,63.72232088364002,4.344187186902975
EVRG,22.01554377965273,5.759479011194785
EXAS,0.29900925515021576,4.254076624286328
EXC,18.530924369075862,14.817522005456324
EXE,33.470237723307335,23.737276946430416
EXEL,72.90593969047758,1.9310365874191808
EXPD,-1.3682960853022375,-3.376491531009493
EXPE,50.412492176907556,-6.104524840677692
FANG,-25.21932491750579,-18.66499458086274
FAST,20.426465120789196,-2.9585535865605483
FITB,5.481490522283665,-13.192101545795213
FLEX,46.022326227960505,4.390118021537577
FOX,67.13196029991929,23.54065623358616
FOXA,67.2381268931581,24.454212085251033
FSLR,0.28788434596821744,-1.2014575672990282
FTAI,50.068451953745196,-24.632977501651414
FTNT,80.62242662889574,14.135160807061284
FUTU,66.89245982918848,21.66849607825056
FWONK,37.808885035021,18.453047233681666
GEHC,-11.330151362019944,-14.011118344201629
GEN,26.369210627954743,-0.5944869902788131
GFS,-22.293989735037208,-9.731693551262012
GGAL,92.53267243852315,16.07209508533454
GILD,59.5481045713984,6.658806028607171
GLPI,10.522413480869169,-4.76697603582096
GMAB,-33.044385007710744,-16.33449077220927
GOOG,-5.072485166347753,-10.343589372945994
GOOGL,-4.955393855339255,-10.346639614767696
GRAB,43.71429170880999,18.91253397464737
HBAN,19.4546555070033,-5.093795293477829
HOLX,-23.98190125650463,-27.47587940248552
HON,9.820585175180195,0.4455383688709327
HOOD,285.5206497818712,104.87884027211007
HST,-9.355442142915285,-9.725992540805478
HTHT,0.1725319571085615,5.816855990183585
IBKR,69.92415396039588,19.76851621536467
ICLR,-55.45515109291996,-34.63452738999941
IEF,5.084676571816674,1.3450718884291974
ILMN,-25.315838808355196,-46.852865842832756
INCY,14.606105916727591,-27.06883739937009
INSM,153.0227216859523,-10.647269150905666
INTC,-23.942679945517256,-13.893134316797203
INTU,4.54699796142792,-3.679819192857223
ISRG,45.836564366360555,5.126293107322546
JBHT,-12.716547132272964,-22.87579120149034
JD,19.093699568939442,-0.004761744330375351
KDP,-0.18390365874700337,2.0271241718562303
KHC,-20.086057818045493,-14.236566366774522
KLAC,11.797099642652944,16.36592441298684
LI,4.7583309291974905,18.224099515694736
LIN,5.052839585284874,-1.2917283611954649
LINE,,-29.550020614578692
LKQ,-1.987183810170906,11.310345718348506
LNT,21.807168682731394,6.471005723180004
LOGI,4.23473164727244,9.521407321547361
LRCX,-6.020469475102155,9.68012913605174
LULU,-11.998528764953686,0.6741602374145529
MAR,15.152351875474219,-1.9328133735266344
MBLY,-37.55989289319628,2.9787218747253474
MCHP,-30.221221458076386,-13.270203868169798
MDB,-44.57804248735485,-32.45759615051761
MDLZ,-7.390765005453363,-1.6586169508544468
META,38.26611825356825,11.50495119555814
MMYT,42.1199951171875,-0.2153186272146546
MNST,8.600794331962309,11.248615111274454
MRVL,-4.050548060109696,-30.077098056934737
MSFT,9.121146447417297,6.721593447073633
MSTR,257.1513263900033,55.90931307465205
